word,definition,example
afterwards,Happening at a time subsequent to a reference time.,he apologized subsequently
again,Anew.,she tried again
against,In a contrary direction to.,It is hard work to swim against the current.
age,How long something has existed.,it was replaced because of its age
aged,People who are old collectively.,special arrangements were available for the aged
ageless,Continuing forever or indefinitely.,the ageless themes of love and revenge
agency,An administrative unit of government.,the Central Intelligence Agency
agenda,A temporally organized plan for matters to be attended to.,
agent,An active and efficient cause; capable of producing a certain effect.,their research uncovered new disease agents
aggressive,Having or showing determination and energetic pursuit of your ends.,an aggressive businessman
aggressively,In an aggressive manner.,she was being sharply questioned
ago,Gone by; or in the past.,two years ago
agonize/agonise,Cause to agonize.,
agony,Intense feelings of suffering; acute mental or physical pain.,an agony of doubt
agree,Be in accord; be in agreement.,We agreed on the terms of the settlement
agreement,The statement (oral or written) of an exchange of promises.,they had an agreement that they would not interfere in each other's business
agricultural,Relating to or used in or promoting agriculture or farming.,agricultural engineering
agriculture,A large-scale farming enterprise.,
ahead,Having the leading position or higher score in a contest.,he is ahead by a pawn
aid,A resource.,visual aids in teaching
aim,An anticipated outcome that is intended or that guides your planned actions.,his intent was to provide a new translation
air,A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of.,air pollution
air conditioning,The state of temperature and humidity produced by an air conditioner.,This car has air conditioning.
air force,"A branch of the military mainly devoted to air warfare, as opposed to (land) army and navy.",When you're in the air force you have to be prepared to launch missiles at people from the air.
aircraft,A vehicle that can fly.,
aircrew,The crew of an aircraft.,The aircrew ran to the bomber.
airline,A hose that carries air under pressure.,
airplane/aeroplane,An aircraft that has a fixed wing and is powered by propellers or jets.,the flight was delayed due to trouble with the airplane
airport,An airfield equipped with control tower and hangars as well as accommodations for passengers and cargo.,"Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas. ― The Independent, Heathrow expansion to mainly benefit wealthy frequent fliers, research finds, 23 june 2018."
aisle,A long narrow passage (as in a cave or woods).,Do you want to seat window or aisle?
alarm,Fear resulting from the awareness of danger.,The clock radio is a friendlier version of the cold alarm by the bedside.
alarm clock,A clock with an alarm that can be set to sound at a determined time.,
album,One or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc.,
alcohol,A liquor or brew containing alcohol as the active agent.,alcohol (or drink) ruined him
alcoholic,A person who drinks alcohol to excess habitually.,He ordered an alcoholic beverage.
alcoholism,Habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms.,
alert,Condition of heightened watchfulness or preparation for action.,bombers were put on alert during the crisis
alike,Having the same or similar characteristics.,all politicians are alike
alive,Possessing life.,the happiest person alive
all,Quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class.,we sat up all night
all right,"Good; in acceptable, if not excellent condition.","The car is all right. It gets me there, anyway."
allegation,(law) a formal accusation against somebody (often in a court of law).,an allegation of malpractice
allergic,Characterized by or caused by allergy.,an allergic reaction
alliance,The state of being allied or confederated.,"matrimonial alliances; an alliance between church and state, or between two countries"
allow,Make it possible through a specific action or lack of action for something to happen.,This permits the water to rush in
allowance,An amount allowed or granted (as during a given period).,travel allowance
ally,A friendly nation.,the two countries were allies in WWI
almost,(of actions or states) slightly short of or not quite accomplished; all but.,the job is (just) about done
alone,Isolated from others.,could be alone in a crowded room
along,With a forward motion.,we drove along admiring the view
alongside,Side by side.,anchored close aboard another ship
aloud,Using the voice; not silently.,please read the passage aloud
alphabet,A character set that includes letters and is used to write a language.,"In the first year of school, pupils are taught to recite the alphabet."
alphabetical,Relating to or expressed by a writing system that uses an alphabet.,alphabetical writing system
already,Prior to a specified or implied time.,she has already graduated
alright,Nonstandard usage.,"The car is all right. It gets me there, anyway."
also,In addition.,"he has a Mercedes, too"
altar,The table in christian churches where communion is given.,
alter,Cause to change; make different; cause a transformation.,The advent of the automobile may have altered the growth pattern of the city
alternate,Someone who takes the place of another person.,The flood and ebb tides alternate with each other.
alternative,One of a number of things from which only one can be chosen.,what option did I have?
alternatively,"In place of, or as an alternative to.",Felix became a herpetologist instead
although,"Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.","Although it was very muddy, the football game went on."
altitude,Elevation especially above sea level or above the earth's surface.,the altitude gave her a headache
altogether,Informal terms for nakedness.,in the raw
aluminum/aluminium,A silvery ductile metallic element found primarily in bauxite.,
always,At all times; all the time and on every occasion.,I will always be there to help you
am,A radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms.,
amaze,Affect with wonder.,Your ability to speak six languages amazes me!
amazed,Affect with wonder.,Your ability to speak six languages amazes me!
amazement,The feeling that accompanies something extremely surprising.,he looked at me in astonishment
amazing,Affect with wonder.,Your ability to speak six languages amazes me!
amazingly,In an amazing manner; to everyone's surprise.,"amazingly, he finished medical school in three years"
ambassador,A diplomat of the highest rank; accredited as representative from one country to another.,"As front hall porter, you are an ambassador for the hotel."
ambiguity,An expression whose meaning cannot be determined from its context.,His speech was made with such great ambiguity that neither supporter nor opponent could be certain of his true position.
ambiguous,Open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead.,an equivocal statement
ambition,A cherished desire.,his ambition is to own his own business
ambitious,Having a strong desire for success or achievement.,an ambitious person
ambulance,A vehicle that takes people to and from hospitals.,
ammonia,A water solution of ammonia.,
among,Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst.).,How can you speak with authority about their customs when you have never lived among them?
amongst,Denotes a mingling or intermixing with distinct or separable objects. See usage note at amidst.,"Janek feels very at ease amongst his friends, but gets incredibly nervous when meeting new people."
amount,A quantity of money.,he borrowed a large sum
ample,More than enough in size or scope or capacity.,had ample food for the party
amplifier,Electronic equipment that increases strength of signals passing through it.,
amplify,"Increase in size, volume or significance.",Her terror was magnified in her mind
amuse,"Occupy in an agreeable, entertaining or pleasant fashion.",The play amused the ladies
amused,"Occupy in an agreeable, entertaining or pleasant fashion.",The play amused the ladies
amusement,A feeling of delight at being entertained.,
amusing,"Occupy in an agreeable, entertaining or pleasant fashion.",The play amused the ladies
an,An associate degree in nursing.,
analogy,An inference that if things agree in some respects they probably agree in others.,
analysis,An investigation of the component parts of a whole and their relations in making up the whole.,
analyst,Someone who is skilled at analyzing data.,
analyze/analyse,Consider in detail and subject to an analysis in order to discover essential features or meaning.,analyze a sonnet by Shakespeare
ancestor,Someone from whom you are descended (but usually more remote than a grandparent).,This fossil animal is regarded as the ancestor of the horse.
anchor,A mechanical device that prevents a vessel from moving.,
anchorage,The condition of being secured to a base.,the plant needs a firm anchorage
anchorman,A television reporter who coordinates a broadcast to which several correspondents contribute.,
anchorperson,A television reporter who coordinates a broadcast to which several correspondents contribute.,
ancient,A very old person.,an ancient city  an ancient forest
and,"In rhythm, the second half of a divided beat.",
angel,Spiritual being attendant upon god.,"Thanks for making me breakfast in bed, you little angel."
anger,A strong emotion; a feeling that is oriented toward some real or supposed grievance.,You need to control your anger.
angle,The space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians.,the angle between lines A and B
angrily,With anger.,he angrily denied the accusation
angry,Feeling or showing anger.,angry at the weather
anguish,Extreme mental distress.,
animal,A living organism characterized by voluntary movement.,"A cat is an animal, not a plant. Humans are also animals, under the scientific definition, as we are not plants."
animate,Heighten or intensify.,These paintings exalt the imagination
animated,Heighten or intensify.,These paintings exalt the imagination
animation,The condition of living or the state of being alive.,while there's life there's hope
ankle,A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.,
anniversary,The date on which an event occurred in some previous year (or the celebration of it).,Today is the fiftieth anniversary of the end of the war.
announce,Make known; make an announcement.,She denoted her feelings clearly
announcement,A formal public statement.,the government made an announcement about changes in the drug war
annoy,"Cause annoyance in; disturb, especially by minor irritations.",Mosquitoes buzzing in my ear really bothers me
annoyance,The psychological state of being irritated or annoyed.,
annoyed,"Cause annoyance in; disturb, especially by minor irritations.",Mosquitoes buzzing in my ear really bothers me
annoying,The act of troubling or annoying someone.,"Marc loved his sister, but when she annoyed him he wanted to switch her off."
annual,(botany) a plant that completes its entire life cycle within the space of a year.,"I read the magazine, but I usually don't purchase the annuals."
annually,Without missing a year.,they travel to China annually
anonymous,Having no known name or identity or known source.,anonymous authors
another,Any of various alternatives; some other.,put it off to another (or some other) day
answer,A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.,I waited several days for his answer
ant,Social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers.,
anti,A person who is opposed (to an action or policy or practice etc.).,the antis smelled victory after a long battle
antiaircraft,Artillery designed to shoot upward at airplanes.,
antibacterial,Any drug that destroys bacteria or inhibits their growth.,Many household products contain antibacterials.
anticancer,Used in the treatment of cancer.,anticancer drug
anticipate,Regard something as probable or likely.,The meteorologists are expecting rain for tomorrow
anticipation,An expectation.,Often the anticipation of a shot is worse than the pain of the stick.
antipollution,Intended to reduce pollution.,antipollution laws
antique,An elderly man.,
antistatic,An agent or substance that prevents the buildup of static electricity.,
antivirus,"A piece of software that is used to detect, delete and or neutralize computer-based viruses.",
antonym,"A word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other.",to him the antonym of `gay' was `depressed'
anxiety,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic.",
anxious,Eagerly desirous.,anxious to see the new show at the museum
anxiously,With anxiety or apprehension.,we watched anxiously
any,One or some or every or all without specification.,give me any peaches you don't want
anybody,Any one out of an indefinite number of persons; anyone; any person.,Anybody will do.
anyhow,Used to indicate that a statement explains or supports a previous statement.,"Anyhow, he is dead now"
anymore,At the present or from now on; usually used with a negative.,Alice doesn't live here anymore
anyone,Any person; anybody.,Almost anyone can change a light bulb.
anything,Someone or something of importance.,I would not do it for anything.
anyway,Used to indicate that a statement explains or supports a previous statement.,"Anyhow, he is dead now"
anywhere,At or in or to any place; ; (`anyplace' is used informally for `anywhere').,you can find this food anywhere
apart,Remote and separate physically or socially; ; - w.h.hudson.,existed over the centuries as a world apart
apartment,A suite of rooms usually on one floor of an apartment house.,
ape,Any of various primates with short tails or no tail at all.,
apologize/apologise,Acknowledge faults or shortcomings or failing.,I apologized for being late
apology,An expression of regret at having caused trouble for someone.,he wrote a letter of apology to the hostess
apostrophe,Address to an absent or imaginary person.,
apparent,Clearly revealed to the mind or the senses or judgment.,the effects of the drought are apparent to anyone who sees the parched fields
apparently,From appearances alone; ; ; -thomas hardy.,irrigation often produces bumper crops from apparently desert land
appeal,Earnest or urgent request.,an entreaty to stop the fighting
appear,Give a certain impression or have a certain outward aspect.,She seems to be sleeping
appearance,Outward or visible aspect of a person or thing.,His sudden appearance surprised me.
appetite,A feeling of craving something; ; - granville hicks.,an appetite for life
applaud,Clap one's hands or shout after performances to indicate approval.,"After the performance, the audience applauded for five minutes."
applause,A demonstration of approval by clapping the hands together.,
apple,Fruit with red or yellow or green skin and sweet to tart crisp whitish flesh.,
applicant,A person who requests or seeks something such as assistance or employment or admission.,Our job advertisement attracted seven applicants.
application,The act of bringing something to bear; using it for a particular purpose.,he advocated the application of statistics to the problem
apply,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,use your head!
appoint,Create and charge with a task or function.,nominate a committee
appointment,The act of putting a person into a non-elective position.,the appointment had to be approved by the whole committee
appreciate,Recognize with gratitude; be grateful for.,I appreciate your efforts
appreciation,Understanding of the nature or meaning or quality or magnitude of something.,he has a good grasp of accounting practices
appreciative,Feeling or expressive of gratitude.,was appreciative of his efforts
approach,Ideas or actions intended to deal with a problem or situation.,his approach to every problem is to draw up a list of pros and cons
appropriate,Give or assign a resource to a particular person or cause.,I will earmark this money for your research
appropriately,In an appropriate manner.,he was appropriately dressed
approval,The formal act of approving.,he gave the project his blessing
approve,Give sanction to.,I approve of his educational policies
approximate,Be close or similar.,Her results approximate my own
approximately,(of quantities) imprecise but fairly close to correct.,lasted approximately an hour
April,The month following march and preceding may.,
apron,A garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing.,
arch,A curved shape in the vertical plane that spans an opening.,to pass into the arch of a bridge
archaeologist/archeologist,An anthropologist who studies prehistoric people and their culture.,
architect,Someone who creates plans to be used in making something (such as buildings).,"Plato made the causes of things to be matter, ideas, and an efficient architect."
architecture,An architectural product or work.,"Architecture is the visual public expression of a culture’s achievements, values, and outlook. ― Max Roscoe, ""How Your City Is Killing You With Ugliness"""
arctic,The regions to the north of the arctic circle centered on the north pole.,
are,A unit of surface area equal to 100 square meters.,
area,A particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography).,it was a mountainous area
arena,A particular environment or walk of life.,his social sphere is limited
argue,Present reasons and arguments.,He also argued for stronger methods to be used against China.
argument,A fact or assertion offered as evidence that something is true.,it was a strong argument that his hypothesis was true
arise,Come into existence; take on form or shape.,A new religious movement originated in that country
aristocracy,A privileged class holding hereditary titles.,
arithmetic,The branch of pure mathematics dealing with the theory of numerical calculations.,arithmetic geometry
arm,A human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb.,She stood with her right arm extended and her palm forward to indicate “Stop!”
armchair,Chair with a support on each side for arms.,These days I'm an armchair detective.
armed,Prepare oneself for a military confrontation.,The U.S. is girding for a conflict in the Middle East
armful,The quantity that can be contained in the arms.,
army,A permanent organization of the military land forces of a nation or state.,The army was sent in to quell the uprising.
around,In the area or vicinity.,a few spectators standing about
arouse,"Call forth (emotions, feelings, and responses).",arouse pity
arrange,Put into a proper or systematic order.,arrange the books on the shelves in chronological order
arrangement,The thing arranged or agreed to.,they made arrangements to meet in Chicago
arrest,The act of apprehending (especially apprehending a criminal).,the policeman on the beat got credit for the collar
arrival,Accomplishment of an objective.,The early arrival of the bride created a stir.
arrive,Reach a destination; arrive by movement or progress.,She arrived home at 7 o'clock
arrogant,Having or showing feelings of unwarranted importance out of overbearing pride.,an arrogant official
arrow,A mark to indicate a direction or relation.,Arrow left until you reach the start of the text you want to delete.
art,The products of human creativity; works of art collectively.,an art exhibition
artery,A blood vessel that carries blood from the heart to the body.,
article,Nonfictional prose forming an independent part of a publication.,a sales article
articulate,Provide with a joint.,the carpenter jointed two pieces of wood
artificial,Contrived by art rather than nature.,artificial flowers
artificially,Not according to nature; not by natural means.,artificially induced conditions
artist,A person whose creative work shows sensitivity and imagination.,
artistic,Relating to or characteristic of art or artists.,his artistic background
artistry,A superior skill that you can learn by study and practice and observation.,the art of conversation
as,A very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar.,"It's not as well made, but it's twice as expensive."
ash,The residue that remains when something is burned.,Ash from a fireplace can restore minerals to your garden's soil.
ashamed,Feeling shame or guilt or embarrassment or remorse.,are you ashamed for having lied?
aside,A line spoken by an actor to the audience but not intended for others on the stage.,"Move aside, please, so that these people can come through."
ask,Inquire about.,I asked about their special today
asleep,In a state of sleep.,were all asleep when the phone rang
aspect,A distinct feature or element in a problem.,he studied every facet of the question
aspiration,A will to succeed.,Morgan has an aspiration of winning the game.
aspire,Have an ambitious plan or a lofty goal.,He aspires to become a successful doctor.
aspirin,"The acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names bayer, empirin, and st. joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets.",
assault,Close fighting during the culmination of a military attack.,"to make assault upon a man, a house, or a town"
assemble,Create by putting components or members together.,She pieced a quilt
assembly,A group of machine parts that fit together to form a self-contained unit.,"In order to change the bearing, you must first remove the gearbox assembly."
assert,State categorically.,He would often assert that there was life on other planets.
assess,"Evaluate or estimate the nature, quality, ability, extent, or significance of.",I will have the family jewels appraised by a professional
assessment,The classification of someone or something with respect to its worth.,
assign,"Give an assignment to (a person) to a post, or assign a task to (a person).",to assign a day for trial
assignment,A duty that you are assigned to perform (especially in the armed forces).,hazardous duty
assist,The activity of contributing to the fulfillment of a need or furtherance of an effort or purpose.,he gave me an assist with the housework
assistance,The activity of contributing to the fulfillment of a need or furtherance of an effort or purpose.,he gave me an assist with the housework
assistant,A person who contributes to the fulfillment of a need or furtherance of an effort or purpose.,my invaluable assistant
associate,A person who joins with others in some activity or endeavor.,he had to consult his associate before continuing
association,A formal organization of people or groups of people.,he joined the Modern Language Association
assume,Take to be the case or to be true; accept without verification or proof.,I assume his train was late
assumption,A statement that is assumed to be true and from which a conclusion can be drawn.,on the assumption that he has been injured we can infer that he will not to play
assurance,Freedom from doubt; belief in yourself and your abilities.,his assurance in his superiority did not make him popular
assure,Make certain of.,This nest egg will ensure a nice retirement for us
astonish,Affect with wonder.,Your ability to speak six languages amazes me!
astonished,Affect with wonder.,Your ability to speak six languages amazes me!
astonishing,Affect with wonder.,Your ability to speak six languages amazes me!
astonishment,The feeling that accompanies something extremely surprising.,he looked at me in astonishment
astronaut,A person trained to travel in a spacecraft.,the Russians called their astronauts cosmonauts
astronomer,A physicist who studies astronomy.,
astronomy,The branch of physics that studies celestial bodies and the universe as a whole.,
at,A highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium.,Cars 2 is the most influential film of all time. Don't @ me.
athlete,A person trained to compete in sports.,She's the first athlete in her sport to obtain a corporate sponsor.
athletic,Relating to or befitting athletics or athletes.,athletic facilities
athletics,An active diversion requiring physical exertion and competition.,
Atlantic,The 2nd largest ocean; separates north and south america on the west from europe and africa on the east.,
atmosphere,A particular environment or surrounding influence.,there was an atmosphere of excitement
atom,(physics and chemistry) the smallest component of an element having the chemical properties of the element.,"In a Venn diagram, an atom is depicted as an area circumscribed by lines but not cut by any line."
atomic,Of or relating to or comprising atoms.,atomic structure
attach,Cause to be attached.,"An officer is attached to a certain regiment, company, or ship."
attached,Cause to be attached.,"An officer is attached to a certain regiment, company, or ship."
attachment,A feeling of affection for a person or an institution.,I have such an attachment towards my fiancé!
attack,(military) an offensive against an enemy (using weapons).,the attack began at dawn
attain,To gain with effort.,she achieved her goal despite setbacks
attainable,Capable of being attained or accomplished.,choose an attainable goal
attainment,The act of achieving an aim.,the attainment of independence
attempt,Earnest and conscientious activity intended to do or accomplish something.,made an effort to cover all the reading material
attend,"Be present at (meetings, church services, university), etc.",She attends class regularly
attendance,The act of being present (at a meeting or event etc.).,Attendance at the meeting is required.
attention,The process whereby a person concentrates on some features of the environment to the (relative) exclusion of others.,Please direct your attention to the following words.
attentive,(often followed by `to') giving care or attention.,attentive to details
attentively,With attention; in an attentive manner.,he listened attentively
attitude,A complex mental state involving beliefs and feelings and values and dispositions to act in certain ways.,he had the attitude that work was fun
attract,Direct toward itself or oneself by means of some psychological power or physical attributes.,Her good looks attract the stares of many men
attraction,The force by which one object attracts another.,The Moon is held in its orbit by the attraction of the Earth's gravity.
attractive,Pleasing to the eye or mind especially through beauty or charm.,a remarkably attractive young man
attractiveness,The quality of arousing interest; being attractive or something that attracts.,her personality held a strange attraction for him
attribute,A construct whereby objects or individuals can be distinguished.,self-confidence is not an endearing property
atypical,"Not representative of a group, class, or type.",a group that is atypical of the target audience
